,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
2426,079190,KR7079190005,케스피온,KOSDAQ,벤처기업부,795,1,10,1.27,766,817,761,104013,81931298,30492633630,38355514,KSQ
2427,038530,KR7038530002,케이바이오,KOSDAQ,중견기업부,263,2,-12,-4.36,273,274,263,287546,76602232,30432873261,115714347,KSQ
2428,060240,KR7060240009,룽투코리아,KOSDAQ,중견기업부,1191,2,-109,-8.38,1300,1301,1172,415185,504311287,30286277244,25429284,KSQ
2429,206950,KR7206950008,볼빅,KONEX,일반기업부,2135,0,0,0.0,0,0,0,0,0,30054960775,14077265,KNX
2430,091340,KR7091340000,S&K폴리텍,KOSDAQ,중견기업부,2565,1,25,0.98,2545,2740,2465,42103,107623740,30020044365,11703721,KSQ
2431,390110,KR7390110005,애니메디솔루션,KONEX,일반기업부,3280,2,-75,-2.24,3280,3280,3280,400,1312000,29806334160,9087297,KNX
2432,084440,KR7084440007,유비온,KOSDAQ,기술성장기업부,1512,2,-50,-3.2,1562,1686,1510,119631,185059222,29805753600,19712800,KSQ
2433,179530,KR7179530001,애드바이오텍,KOSDAQ,기술성장기업부,3260,1,85,2.68,3170,3275,3035,46233,146515085,29797847440,9140444,KSQ
2434,068940,KR7068940006,셀피글로벌,KOSDAQ,관리종목(소속부없음),778,0,0,0.0,0,0,0,0,0,29766744466,38260597,KSQ
2435,308100,KR7308100007,까스텔바작,KOSDAQ,중견기업부,4480,2,-200,-4.27,4670,4670,4215,48609,213500880,29678803840,6624733,KSQ
2436,365900,KR7365900000,브이씨,KOSDAQ,벤처기업부,4050,2,-180,-4.26,4230,4230,4010,13938,56621710,29606715000,7310300,KSQ
2437,071850,KR7071850002,캐스텍코리아,KOSDAQ,중견기업부,1785,2,-60,-3.25,1800,1826,1762,24121,42962974,29576000580,16569188,KSQ
2438,290660,KR7290660000,네오펙트,KOSDAQ,기술성장기업부,1285,2,-15,-1.15,1288,1417,1270,475110,629104642,29567310300,23009580,KSQ
2439,099410,KR7099410003,동방선기,KOSDAQ,중견기업부,2175,2,-65,-2.9,2220,2220,2135,54668,118533475,29451679350,13541002,KSQ
2440,103230,KR7103230009,에스앤더블류,KOSDAQ,중견기업부,4090,2,-10,-0.24,4100,4120,3920,28060,113152770,29448000000,7200000,KSQ
2441,257990,KR7257990002,나우코스,KONEX,일반기업부,4995,2,-185,-3.57,5100,5100,4850,110,549215,29390040540,5883892,KNX
2442,032280,KR7032280000,삼일,KOSDAQ,중견기업부,1812,2,-17,-0.93,1829,1842,1800,38993,70867588,29379025080,16213590,KSQ
2443,054940,KR7054940002,엑사이엔씨,KOSDAQ,중견기업부,883,2,-17,-1.89,897,900,853,230275,201279499,29292242884,33173548,KSQ
2444,900260,HK0000295359,로스웰,KOSDAQ,외국기업(소속부없음),810,2,-3,-0.37,808,810,797,25029,20092746,29185343280,36031288,KSQ
2445,152550,KR7152550000,한국ANKOR유전,KOSPI,,415,2,-65,-13.54,504,520,410,47495861,22407407087,29058300000,70020000,STK
