,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
567,003720,KR7003720000,삼영,KOSPI,,4780,2,-145,-2.94,4920,4925,4615,4272796,20279882955,161330000000,34000000,STK
568,024090,KR7024090003,디씨엠,KOSPI,,14100,2,-60,-0.42,14160,14220,14000,14672,207196920,160740000000,11400000,STK
569,008700,KR7008700007,아남전자,KOSPI,,2080,2,-35,-1.65,2105,2135,2055,316663,657432020,160419625600,77124820,STK
570,02826K,KR702826K016,삼성물산우B,KOSPI,,98400,1,100,0.1,98900,98900,96300,3330,324846800,160138620000,1627425,STK
571,017900,KR7017900002,광전자,KOSPI,,2680,1,60,2.29,2575,3140,2470,24633460,70869488830,159924785880,57943763,STK
572,214330,KR7214330003,금호에이치티,KOSPI,,812,2,-14,-1.69,818,827,810,252833,206277657,159854889735,196140969,STK
573,267850,KR7267850006,아시아나IDT,KOSPI,,14380,2,-220,-1.51,14370,14620,14190,9171,131805900,159618000000,11100000,STK
574,089470,KR7089470009,HDC현대EP,KOSPI,,4965,3,0,0.0,4980,4980,4900,63435,312898150,158383500000,31900000,STK
575,009410,KR7009410002,태영건설,KOSPI,,4015,1,15,0.38,4000,4030,3935,126407,503548870,155985382980,38899098,STK
576,071970,KR7071970008,STX중공업,KOSPI,,5450,1,70,1.3,5380,5500,5350,186966,1015744140,155612046050,28552669,STK
577,013580,KR7013580006,계룡건설,KOSPI,,17290,1,10,0.06,17270,17350,17050,6511,112222690,154326072960,8930907,STK
578,002210,KR7002210003,동성제약,KOSPI,,5930,3,0,0.0,5910,5940,5880,18956,111954710,153995723000,26100970,STK
579,096775,KR7096771001,SK이노베이션우,KOSPI,,122800,1,1100,0.9,124700,124900,119600,6987,853169900,153306712800,1248426,STK
580,009270,KR7009270000,신원,KOSPI,,1486,2,-16,-1.07,1498,1502,1483,93410,138943794,152340738660,102586356,STK
581,003830,KR7003830007,대한화섬,KOSPI,,114200,3,0,0.0,114600,114700,113600,1144,130510200,151657600000,1328000,STK
582,014160,KR7014160006,대영포장,KOSPI,,1395,1,10,0.72,1385,1398,1384,90716,126104464,151210395855,108394549,STK
583,014280,KR7014280002,금강공업,KOSPI,,5130,2,-30,-0.58,5110,5160,5060,43420,221688840,151046188550,29329357,STK
584,109070,KR7109070003,컨버즈,KOSPI,,4100,0,0,0.0,0,0,0,0,0,150921943000,36810230,STK
585,008040,KR7008040008,사조동아원,KOSPI,,1069,2,-16,-1.47,1102,1131,1060,3825547,4162536843,150601288200,141144600,STK
