,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
241,230240,KR7230240004,에치에프알,KOSDAQ,우량기업부,24400,2,-1800,-6.87,25750,25850,23700,398254,9773360350,329132234400,13489026,KSQ
242,033160,KR7033160003,엠케이전자,KOSDAQ,우량기업부,14860,2,-170,-1.13,14680,15100,14650,180910,2688241730,327905678660,22066331,KSQ
243,104830,KR7104830005,원익머트리얼즈,KOSDAQ,우량기업부,25900,2,-650,-2.45,26500,26500,25750,53698,1395050550,326547200000,12608000,KSQ
244,205470,KR7205470008,휴마시스,KOSDAQ,우량기업부,2520,2,-45,-1.75,2560,2645,2520,6346154,16369814210,326025022680,129375009,KSQ
245,102940,KR7102940004,코오롱생명과학,KOSDAQ,중견기업부,28550,2,-350,-1.21,28900,28900,28000,5076,144785900,325822763800,11412356,KSQ
246,251970,KR7251970000,펌텍코리아,KOSDAQ,우량기업부,26250,2,-250,-0.94,25800,26500,25700,53259,1390637400,325500000000,12400000,KSQ
247,230360,KR7230360000,에코마케팅,KOSDAQ GLOBAL,우량기업부,9960,2,-70,-0.7,9900,10070,9890,41553,414019090,322385568840,32368029,KSQ
248,013030,KR7013030002,하이록코리아,KOSDAQ,우량기업부,25050,2,-900,-3.47,25700,25700,24950,64972,1638651250,322044052500,12856050,KSQ
249,050890,KR7050890003,쏠리드,KOSDAQ,우량기업부,5210,2,-210,-3.87,5400,5400,5200,1014766,5362084120,318964744400,61221640,KSQ
250,089970,KR7089970008,에이피티씨,KOSDAQ,우량기업부,13300,2,-440,-3.2,13660,13660,13050,91284,1209309450,318941913500,23980595,KSQ
251,254490,KR7254490006,미래반도체,KOSDAQ,중견기업부,22050,1,350,1.61,21200,22050,21100,71363,1526298550,318357900000,14438000,KSQ
252,078590,KR7078590007,휴림에이텍,KOSDAQ,관리종목(소속부없음),2380,0,0,0.0,0,0,0,0,0,316556560040,133006958,KSQ
253,060590,KR7060590007,씨티씨바이오,KOSDAQ,중견기업부,13050,2,-280,-2.1,13190,13800,12660,1450740,19225445430,315562311000,24181020,KSQ
254,204620,KR7204620009,글로벌텍스프리,KOSDAQ,중견기업부,5750,1,50,0.88,5610,6000,5590,3323880,19470730260,315545740000,54877520,KSQ
255,040300,KR7040300006,YTN,KOSDAQ,우량기업부,7500,2,-160,-2.09,7660,7730,7410,253197,1916949380,315000000000,42000000,KSQ
256,080160,KR7080160005,모두투어,KOSDAQ,중견기업부,16610,2,-10,-0.06,16410,16740,16310,61885,1020374370,313929000000,18900000,KSQ
257,084110,KR7084110006,휴온스글로벌,KOSDAQ,중견기업부,24800,2,-500,-1.98,25150,25950,24650,46275,1168796850,313013001600,12621492,KSQ
258,298540,KR7298540006,더네이쳐홀딩스,KOSDAQ,우량기업부,21200,1,150,0.71,20650,21500,20600,42841,900880000,311864211200,14710576,KSQ
259,445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,38900,1,2650,7.31,35750,43400,35600,4510034,180901882200,311626655200,8010968,KSQ
260,089010,KR7089010003,켐트로닉스,KOSDAQ,우량기업부,20400,2,-600,-2.86,20700,20900,20200,81482,1665663000,309420672000,15167680,KSQ
261,035890,KR7035890003,서희건설,KOSDAQ,우량기업부,1344,2,-6,-0.44,1349,1350,1331,364000,488738282,308862566208,229808457,KSQ
262,013120,KR7013120001,동원개발,KOSDAQ,우량기업부,3390,2,-20,-0.59,3390,3435,3380,42869,145330940,307839459000,90808100,KSQ
263,232140,KR7232140004,와이아이케이,KOSDAQ,우량기업부,3750,2,-95,-2.47,3800,3800,3735,82206,309129570,307670062500,82045350,KSQ
264,035600,KR7035600006,KG이니시스,KOSDAQ,우량기업부,11020,2,-110,-0.99,10960,11100,10960,47571,523617650,307506862680,27904434,KSQ
265,054450,KR7054450002,텔레칩스,KOSDAQ,우량기업부,20400,1,50,0.25,19980,20700,19950,338254,6895451070,306182784000,15008960,KSQ
